word,glosses,source
Abfahrt,"[""departure""]",goethe-a2-deck
Abflug,"[""departure""]",goethe-a1-deck
Absender,"[""dispatcher""]",ding
Adresse,"[""address""]",goethe-a2-deck
Ahnung,"[""idea""]",goethe-a2-deck
Alter,"[""age""]",goethe-a2-deck
Ampel,"[""traffic light""]",goethe-a2-deck
Anfang,"[""beginning""]",goethe-a2-deck
Angebot,"[""offer""]",goethe-a2-deck
Angst,"[""anxiety"", ""fear""]",goethe-a2-deck
Ankunft,"[""arrival""]",goethe-a2-deck
Anmeldung,"[""registration""]",goethe-a2-deck
Anrede,"[""salutation""]",ding
Anruf,"[""call""]",goethe-a2-deck
Anrufbeantworter,"[""answering machine""]",goethe-a2-deck
Ansage,"[""announcement""]",goethe-a1-deck
Anschluss,"[""connection""]",goethe-a1-deck
Antwort,"[""answer""]",goethe-a1-deck
Anzeige,"[""advert"", ""display""]",goethe-a1-deck
Anzug,"[""suit""]",goethe-a2-deck
Apartment,"[""apartment""]",goethe-a1-deck
Apfel,"[""apple""]",goethe-a1-deck
Apotheke,"[""pharmacy""]",goethe-a2-deck
Apparat,"[""device"", ""machine""]",goethe-a2-deck
Appetit,"[""appetite""]",ding
Arbeit,"[""work"", ""job""]",goethe-a1-deck
Arbeitsplatz,"[""workplace""]",goethe-a1-deck
Arm,"[""arm""]",goethe-a1-deck
Artikel,"[""item""]",goethe-a2-deck
Arzt,"[""doctor""]",goethe-a1-deck
Aufzug,"[""lift"", ""elevator""]",goethe-a1-deck
Auge,"[""eye""]",goethe-a1-deck
Ausbildung,"[""education""]",goethe-a2-deck
Ausflug,"[""excursion""]",goethe-a1-deck
Ausgang,"[""exit""]",goethe-a1-deck
Auskunft,"[""information"", ""details""]",goethe-a1-deck
Ausland,"[""abroad"", ""overseas""]",goethe-a1-deck
Ausländer,"[""foreigner""]",goethe-a1-deck
Aussage,"[""statement""]",goethe-a1-deck
Ausstellung,"[""exhibition""]",goethe-a2-deck
Ausweis,"[""identity card"", ""id card""]",goethe-a1-deck
Auto,"[""car"", ""automobile""]",goethe-a1-deck
Autobahn,"[""motorway"", ""highway""]",goethe-a1-deck
Automat,"[""machine"", ""automat""]",goethe-a1-deck
Baby,"[""baby""]",goethe-a1-deck
Babysitter,"[""baby-sitter""]",goethe-a2-deck
Bad,"[""bathroom"", ""bath""]",goethe-a1-deck
Bahn,"[""train""]",goethe-a1-deck
Bahnhof,"[""train station"", ""railway station""]",goethe-a1-deck
Bahnsteig,"[""platform""]",goethe-a1-deck
Balkon,"[""balcony""]",goethe-a1-deck
Ball,"[""ball""]",goethe-a2-deck
Banane,"[""banana""]",goethe-a1-deck
Band,"[""band""]",goethe-a2-deck
Bank,"[""bank"", ""bench""]",goethe-a1-deck
Basketball,"[""basketball""]",goethe-a2-deck
Bauch,"[""stomach"", ""belly""]",goethe-a1-deck
Baum,"[""tree""]",goethe-a1-deck
Baustelle,"[""building site"", ""construction site""]",goethe-a2-deck
Beamte,"[""official""]",goethe-a1-deck
Bein,"[""leg""]",goethe-a1-deck
Beispiel,"[""example""]",goethe-a1-deck
Bekannte,"[""acquaintance""]",ding
Berg,"[""mountain""]",goethe-a2-deck
Beruf,"[""profession"", ""occupation""]",goethe-a1-deck
Bescheid,"[""answer"", ""decision""]",goethe-a2-deck
Besuch,"[""visit""]",goethe-a2-deck
Bett,"[""bed""]",goethe-a1-deck
Bewerbung,"[""application"", ""canditature""]",goethe-a2-deck
Bibliothek,"[""library""]",goethe-a2-deck
Bier,"[""beer""]",goethe-a1-deck
Bild,"[""picture"", ""image""]",goethe-a1-deck
Birne,"[""pear""]",goethe-a1-deck
Bitte,"[""request"", ""appeal""]",goethe-a1-deck
Blatt,"[""sheet""]",goethe-a2-deck
Bleistift,"[""pencil""]",goethe-a1-deck
Blick,"[""view""]",goethe-a1-deck
Blog,"[""blog""]",goethe-a2-deck
Blume,"[""flower""]",goethe-a1-deck
Bluse,"[""blouse""]",goethe-a2-deck
Bogen,"[""sheet""]",goethe-a1-deck
Bohne,"[""bean""]",goethe-a2-deck
Brief,"[""letter""]",goethe-a1-deck
Briefmarke,"[""stamp""]",goethe-a1-deck
Brille,"[""glasses""]",goethe-a2-deck
Brot,"[""bread"", ""bread roll""]",goethe-a1-deck
Bruder,"[""brother""]",goethe-a1-deck
Brötchen,"[""bread roll"", ""bun""]",goethe-a1-deck
Brücke,"[""bridge""]",goethe-a2-deck
Buch,"[""book""]",goethe-a1-deck
Buchstabe,"[""letter"", ""character""]",goethe-a1-deck
Bus,"[""bus""]",goethe-a1-deck
Butter,"[""butter""]",goethe-a1-deck
Bäckerei,"[""bakery""]",goethe-a1-deck
Büro,"[""office""]",goethe-a2-deck
CD,"[""cd""]",goethe-a1-deck
Cafeteria,"[""cafeteria""]",goethe-a2-deck
Café,"[""cafe"", ""coffee shop""]",goethe-a1-deck
Chef,"[""boss"", ""male boss""]",goethe-a1-deck
Chefin,"[""female boss""]",goethe-a2-deck
Club,"[""club""]",goethe-a2-deck
Comic,"[""comic""]",goethe-a2-deck
Computer,"[""computer""]",goethe-a1-deck
Creme,"[""cream""]",goethe-a2-deck
Dame,"[""lady""]",goethe-a1-deck
Dank,"[""thanks""]",goethe-a1-deck
Datei,"[""file""]",goethe-a2-deck
Datum,"[""date""]",goethe-a1-deck
Ding,"[""thing""]",goethe-a2-deck
Disco,"[""disco""]",goethe-a1-deck
Disko,"[""discotheque""]",ding
Doktor,"[""doctor""]",goethe-a1-deck
Doppelzimmer,"[""double room""]",goethe-a1-deck
Dorf,"[""village""]",goethe-a1-deck
Drucker,"[""printer""]",goethe-a1-deck
Durchsage,"[""announcement""]",goethe-a1-deck
Durst,"[""thirst""]",goethe-a1-deck
Dusche,"[""shower""]",goethe-a1-deck
E-Book,"[""e-book""]",goethe-a2-deck
E-Mail,"[""email"", ""e-mail""]",goethe-a1-deck
Ecke,"[""corner""]",goethe-a1-deck
Ehefrau,"[""wife""]",goethe-a1-deck
Ehemann,"[""husband""]",goethe-a1-deck
Ei,"[""egg""]",goethe-a1-deck
Eingang,"[""entrance""]",goethe-a1-deck
Einkaufszentrum,"[""shopping mall""]",goethe-a2-deck
Einladung,"[""invitation""]",goethe-a1-deck
Eintritt,"[""entry""]",goethe-a1-deck
Einzelzimmer,"[""single room""]",goethe-a1-deck
Eis,"[""ice cream""]",goethe-a2-deck
Empfänger,"[""recipient"", ""receiver""]",goethe-a1-deck
Ende,"[""end"", ""the end""]",goethe-a1-deck
Entschuldigung,"[""excuse"", ""apology""]",goethe-a2-deck
Erdgeschoss,"[""ground floor""]",goethe-a2-deck
Erfahrung,"[""experience""]",goethe-a2-deck
Ergebnis,"[""result""]",goethe-a1-deck
Erlaubnis,"[""permission""]",goethe-a2-deck
Ermäßigung,"[""discount""]",goethe-a2-deck
Erwachsene,"[""adult""]",goethe-a1-deck
Essen,"[""food"", ""meal""]",goethe-a1-deck
Fach,"[""subject""]",goethe-a2-deck
Fahrer,"[""driver""]",goethe-a1-deck
Fahrkarte,"[""ticket""]",goethe-a1-deck
Fahrplan,"[""timetable""]",goethe-a2-deck
Fahrrad,"[""bicycle""]",goethe-a1-deck
Familie,"[""family""]",goethe-a1-deck
Familienname,"[""surname"", ""family name""]",goethe-a1-deck
Familienstand,"[""family"", ""marital status""]",goethe-a1-deck
Fan,"[""fan""]",goethe-a2-deck
Farbe,"[""colour""]",goethe-a1-deck
Fax,"[""fax""]",goethe-a1-deck
Fehler,"[""mistake"", ""error""]",goethe-a1-deck
Feier,"[""celebration""]",goethe-a2-deck
Fenster,"[""window""]",goethe-a2-deck
Ferien,"[""vacation""]",goethe-a2-deck
Fernseher,"[""tv""]",goethe-a2-deck
Fest,"[""celebration"", ""feast""]",goethe-a2-deck
Festival,"[""festival""]",goethe-a2-deck
Feuer,"[""fire"", ""lighter""]",goethe-a1-deck
Fieber,"[""fever""]",goethe-a1-deck
Film,"[""film"", ""movie""]",goethe-a1-deck
Firma,"[""company""]",goethe-a1-deck
Fisch,"[""fish""]",goethe-a1-deck
Flasche,"[""bottle""]",goethe-a1-deck
Fleisch,"[""meat""]",goethe-a1-deck
Flohmarkt,"[""flea market""]",goethe-a2-deck
Flug,"[""flight""]",goethe-a2-deck
Flughafen,"[""airport""]",goethe-a1-deck
Flugzeug,"[""aeroplane"", ""plane""]",goethe-a1-deck
Fluss,"[""river""]",goethe-a2-deck
Formular,"[""form""]",goethe-a1-deck
Foto,"[""photograph"", ""photo""]",goethe-a1-deck
Fotoapparat,"[""camera""]",goethe-a2-deck
Frage,"[""question""]",goethe-a1-deck
Frau,"[""ms"", ""woman""]",goethe-a1-deck
Freizeit,"[""free time"", ""leisure""]",goethe-a1-deck
Freund,"[""friend"", ""friend, boyfriend""]",goethe-a1-deck
Freundin,"[""friend"", ""girlfriend""]",goethe-a1-deck
Frühstück,"[""breakfast""]",goethe-a1-deck
Fundsachen,"[""lost property""]",goethe-a2-deck
Fuß,"[""foot""]",goethe-a1-deck
Fußball,"[""football"", ""soccer""]",goethe-a1-deck
Führerschein,"[""driver's license""]",goethe-a2-deck
Führung,"[""tour"", ""guidance""]",goethe-a1-deck
Gabel,"[""fork""]",goethe-a2-deck
Garage,"[""garage""]",goethe-a2-deck
Garten,"[""garden""]",goethe-a1-deck
Gast,"[""guest""]",goethe-a1-deck
Geburtsjahr,"[""birth year"", ""year of birth""]",goethe-a1-deck
Geburtsort,"[""birthplace"", ""place of birth""]",goethe-a1-deck
Geburtstag,"[""birthday""]",goethe-a1-deck
Gegenteil,"[""opposite""]",goethe-a2-deck
Gehalt,"[""salary""]",goethe-a2-deck
Geld,"[""money""]",goethe-a1-deck
Geldbörse,"[""purse""]",goethe-a2-deck
Gemüse,"[""vegetables""]",goethe-a1-deck
Gepäck,"[""luggage""]",goethe-a1-deck
Gericht,"[""dish""]",goethe-a2-deck
Gerät,"[""device""]",goethe-a2-deck
Geschenk,"[""present""]",goethe-a1-deck
