Infinitive,Präteritum_ich,Partizip II,Hilfsverb
lieben,liebte,geliebt,haben
chatten,chattete,gechattet,haben
wissen,wusste,gewusst,haben
machen,machte,gemacht,haben
kaufen,kaufte,gekauft,haben
wohnen,wohnte,gewohnt,haben
sehen,sah,gesehen,haben
essen,aß,gegessen,haben
trinken,trank,getrunken,haben
gehen,ging,gegangen,sein
kochen,kochte,gekocht,haben
sprechen,sprach,gesprochen,haben
liegen,lag,gelegen,haben
fliegen,flog,geflogen,sein
verstehen,verstand,verstanden,haben
hören,hörte,gehört,haben
lesen,las,gelesen,haben
haben,hatte,gehabt,haben
können,konnte,gekonnt,haben
fernsehen,sah fern,ferngesehen,haben
arbeiten,arbeitete,gearbeitet,haben
denken,dachte,gedacht,haben
kriegen,kriegte,gekriegt,haben
sitzen,saß,gesessen,haben
laufen,lief,gelaufen,sein
schreiben,schrieb,geschrieben,haben
lernen,lernte,gelernt,haben
stehen,stand,gestanden,haben
aufhören,hörte auf,aufgehört,haben
schenken,schenkte,geschenkt,haben
suchen,suchte,gesucht,haben
wollen,wollte,gewollt,haben
aufstehen,stand auf,aufgestanden,sein
anbieten,bot an,angeboten,haben
schlafen,schlief,geschlafen,haben
bekommen,bekam,bekommen,haben
geben,gab,gegeben,haben
lachen,lachte,gelacht,haben
kosten,kostete,gekostet,haben
backen,buk,gebacken,haben
spielen,spielte,gespielt,haben
gewinnen,gewann,gewonnen,haben
besuchen,besuchte,besucht,haben
leben,lebte,gelebt,haben
ändern,änderte,geändert,haben
zahlen,zahlte,gezahlt,haben
reisen,reiste,gereist,sein
übersetzen,übersetzte,übersetzt,haben
finden,fand,gefunden,haben
sagen,sagte,gesagt,haben
riechen,roch,gerochen,haben
schmecken,schmeckte,geschmeckt,haben
bringen,brachte,gebracht,haben
vorstellen,stellte vor,vorgestellt,haben
kennen,kannte,gekannt,haben
beginnen,begann,begonnen,haben
bitten,bat,gebeten,haben
fahren,fuhr,gefahren,sein
anziehen,zog an,angezogen,haben
tanzen,tanzte,getanzt,haben
glauben,glaubte,geglaubt,haben
mögen,mochte,gemocht,haben
ankreuzen,kreuzte an,angekreuzt,haben
holen,holte,geholt,haben
schwimmen,schwamm,geschwommen,sein
ankommen,kam an,angekommen,sein
waschen,wusch,gewaschen,haben
baden,badete,gebadet,haben
regnen,regnete,geregnet,haben
werden,wurde,geworden,sein
aussehen,sah aus,ausgesehen,haben
helfen,half,geholfen,haben
kommen,kam,gekommen,sein
aussprechen,sprach aus,ausgesprochen,haben
nehmen,nahm,genommen,haben
rauchen,rauchte,geraucht,haben
öffnen,öffnete,geöffnet,haben
grillen,grillte,gegrillt,haben
braten,briet,gebraten,haben
anmachen,machte an,angemacht,haben
abfahren,fuhr ab,abgefahren,sein
bauen,baute,gebaut,haben
anfangen,fing an,angefangen,haben
legen,legte,gelegt,haben
fragen,fragte,gefragt,haben
sollen,sollte,gesollt,haben
heiraten,heiratete,geheiratet,haben
antworten,antwortete,geantwortet,haben
bestehen,bestand,bestanden,haben
erreichen,erreichte,erreicht,haben
stellen,stellte,gestellt,haben
bedeuten,bedeutete,bedeutet,haben
bleiben,blieb,geblieben,sein
dürfen,durfte,gedurft,haben
halten,hielt,gehalten,haben
brauchen,brauchte,gebraucht,haben
studieren,studierte,studiert,haben
treffen,traf,getroffen,haben
beenden,beendete,beendet,haben
danken,dankte,gedankt,haben
erklären,erklärte,erklärt,haben
drucken,druckte,gedruckt,haben
benutzen,benutzte,benutzt,haben
freuen,freute,gefreut,haben
müssen,musste,gemusst,haben
heißen,hieß,geheißen,haben
wandern,wanderte,gewandert,sein
verkaufen,verkaufte,verkauft,haben
telefonieren,telefonierte,telefoniert,haben
schließen,schloss,geschlossen,haben
diskutieren,diskutierte,diskutiert,haben
wünschen,wünschte,gewünscht,haben
bezahlen,bezahlte,bezahlt,haben
bestätigen,bestätigte,bestätigt,haben
ausziehen,zog aus,ausgezogen,sein
abgeben,gab ab,abgegeben,haben
erlauben,erlaubte,erlaubt,haben
einladen,lud ein,eingeladen,haben
wiederholen,wiederholte,wiederholt,haben
erzählen,erzählte,erzählt,haben
frühstücken,frühstückte,gefrühstückt,haben
aufräumen,räumte auf,aufgeräumt,haben
vermieten,vermietete,vermietet,haben
umziehen,zog um,umgezogen,sein
übernachten,übernachtete,übernachtet,haben
buchen,buchte,gebucht,haben
reservieren,reservierte,reserviert,haben
auspacken,packte aus,ausgepackt,haben
einpacken,packte ein,eingepackt,haben
besichtigen,besichtigte,besichtigt,haben
schicken,schickte,geschickt,haben
drücken,drückte,gedrückt,haben
scheinen,schien,geschienen,haben
abschließen,schloss ab,abgeschlossen,haben
ansehen,sah an,angesehen,haben
ausgehen,ging aus,ausgegangen,sein
empfehlen,empfahl,empfohlen,haben
feiern,feierte,gefeiert,haben
anrufen,rief an,angerufen,haben
